,id,title,crit_score,user_score,PC,PlayStation,PlayStation2,PlayStation3,PlayStation4,Xbox,Xbox360,XboxOne,genre,release_year,is_mult,is_single
1,1,007-legends,45.0,4.5,1,0,0,1,0,0,1,0,Shooter,2012,1,1
2,2,007-quantum-of-solace,70.0,6,1,0,1,1,0,0,1,0,Shooter,2008,1,1
3,3,007-racing,51.0,4.6,0,1,0,0,0,0,0,0,Racing,2000,1,1
4,4,007-the-world-is-not-enough,81.0,7.7,0,1,0,0,0,0,0,0,Shooter,2000,1,1
5,5,0-day-attack-on-earth,41.0,4.5,0,0,0,0,0,0,1,0,Shooter,2009,1,1
6,6,0rbitalis,73.0,7.3,1,0,0,0,0,0,0,0,Indie,2014,0,1
7,7,1000-tiny-claws,76.0,6.3,0,1,0,0,0,0,0,0,Indie,2011,0,0
8,8,1001-spikes,78.0,6.6,1,0,0,0,1,0,0,1,Adventure,2014,1,1
10,10,100ft-robot-golf,56.0,5.9,0,0,0,0,1,0,0,0,Fighting,2016,1,1
14,14,10-second-ninja,72.0,7.1,1,0,0,0,0,0,0,0,Indie,2014,0,1
15,15,10-second-ninja-x,82.0,4.5,1,0,0,0,1,0,0,1,Arcade,2016,0,1
16,16,11-11-memories-retold,77.0,7.7,1,0,0,0,1,0,0,1,Adventure,2018,0,1
17,17,12-is-better-than-6,59.0,6.3,1,0,0,0,0,0,0,0,Indie,2015,0,1
19,19,187-ride-or-die,52.0,7,0,0,1,0,0,1,0,0,Racing,2005,1,1
20,20,18-wheeler-american-pro-trucker,67.0,6.6,0,0,1,0,0,0,0,0,Racing,1999,0,1
21,21,1942-joint-strike,69.0,5.9,0,1,0,0,0,1,0,0,Shooter,2008,1,1
23,23,1954-alcatraz,58.0,6.3,1,0,0,0,0,0,0,0,Adventure,2014,0,1
24,24,1979-revolution-black-friday,80.0,7.5,1,0,0,0,1,0,0,1,Adventure,2016,0,1
25,25,198x,74.0,5.8,1,0,0,0,1,0,0,1,Arcade,2019,0,1
26,26,1nsane,69.0,7.8,1,0,0,0,0,0,0,0,Arcade,2000,1,1
27,27,2002-fifa-world-cup,80.0,7.6,1,0,1,0,0,1,0,0,Sport,2002,1,1
28,28,2010-fifa-world-cup-south-africa,83.0,8.2,0,0,0,1,0,0,1,0,Simulator,2010,0,1
29,29,2014-fifa-world-cup-brazil,74.0,4.4,0,0,0,1,0,0,1,0,Sport,2014,1,1
31,31,20xx,77.0,8,1,0,0,0,1,0,0,1,Indie,2017,1,1
32,32,24-the-game,62.0,8.1,0,0,1,0,0,0,0,0,Adventure,2006,0,1
33,33,25-to-life,41.0,7.9,1,0,1,0,0,1,0,0,Shooter,2006,1,1
34,34,2dark,68.0,5.5,1,0,0,0,1,0,0,1,Adventure,2017,0,1
35,35,300-march-to-glory,55.0,6.8,0,1,0,0,0,0,0,0,Adventure,2007,0,0
36,36,39-days-to-mars,71.0,3.9,1,0,0,0,0,0,0,1,Adventure,2018,1,1
42,42,3d-dot-game-heroes,77.0,8.1,0,0,0,1,0,0,0,0,Adventure,2009,0,1
49,49,3d-ultra-minigolf-adventures,66.0,6.1,1,0,0,0,0,1,0,0,Sport,2006,1,1
50,50,3-on-3-nhl-arcade,66.0,7.1,0,0,0,1,0,1,0,0,Sport,2009,1,1
51,51,428-shibuya-scramble,85.0,7.5,1,0,0,1,1,0,0,0,Adventure,2008,0,1
